Name
Python (langage de programmation)
Amazon Web Services
Applications cloud
Infrastructure cloud
Sécurité du cloud
Opérations de Grands Modèles de Langage (LLMOps)
Informatique sans serveur
AWS Lambda
Amazon CloudWatch
Amazon ECS
Amazon CloudFront
Gestion des identités et des accès (IAM)
Cloud hybride
Cloud Computing
DevSecOps
DevOps
GitOps
Conteneurisation
Virtualisation
Conception de logiciels
Développement web back-end
API REST
Conception de bases de données
Conception de réseaux
Logiciel Open Source
Intégration continue et livraison continue (CI/CD)
Azure DevOps
GitHub
GitLab
Git
Ansible
Terraform
Administration système Linux
Administration Microsoft 365
Serveur Linux
Linux
CentOS
Fedora
Debian
Ubuntu
Red Hat Linux
Microsoft Windows
SQLAlchemy
FreeNAS
pfSense
Microsoft Azure
OpenStack
Google Cloud Platform (GCP)
RPM
GPG
Alibaba Cloud
FastAPI
PostgreSQL
Qt
NumPy
Pandas (logiciel)
SciPy
Instrumentation
